Date,Open,High,Low,Close
2020-10-22,6.928,6.928,6.928,6.928
2020-10-21,6.925,6.925,6.925,6.925
2020-10-20,6.928,6.928,6.928,6.928
2020-10-19,6.79,6.922,6.79,6.922
2020-10-16,6.918,6.918,6.918,6.918
2020-10-15,6.888,6.888,6.888,6.888
2020-10-14,6.886,6.886,6.886,6.886
2020-10-13,6.879,6.879,6.879,6.879
2020-10-12,6.779,6.779,6.779,6.779
2020-10-09,6.826,6.826,6.826,6.826
2020-10-08,6.899,6.899,6.899,6.899
2020-10-07,6.901,6.901,6.901,6.901
2020-10-06,6.907,6.907,6.907,6.907
2020-10-05,6.889,6.889,6.889,6.889
2020-10-01,6.891,6.891,6.891,6.891
2020-09-30,6.732,6.732,6.732,6.732
2020-09-29,6.738,6.738,6.738,6.738
2020-09-28,6.741,6.741,6.741,6.741
2020-09-25,6.735,6.735,6.735,6.735
2020-09-24,6.695,6.695,6.695,6.695
2020-09-23,6.698,6.698,6.698,6.698
2020-09-22,6.716,6.716,6.716,6.716
2020-09-21,6.719,6.719,6.719,6.719
2020-09-18,6.72,6.72,6.72,6.72
2020-09-17,6.741,6.741,6.741,6.741
2020-09-16,6.721,6.721,6.721,6.721
2020-09-15,6.723,6.723,6.723,6.723
2020-09-14,6.733,6.733,6.733,6.733
2020-09-11,6.734,6.734,6.734,6.734
2020-09-10,6.736,6.736,6.736,6.736
2020-09-09,6.704,6.704,6.704,6.704
2020-09-08,6.71,6.71,6.71,6.71
2020-09-07,6.66,6.66,6.66,6.66
2020-09-04,6.657,6.657,6.657,6.657
2020-09-03,6.596,6.6,6.581,6.6
2020-09-02,6.603,6.607,6.581,6.581
2020-09-01,6.585,6.585,6.585,6.585
2020-08-31,6.774,6.79,6.755,6.755
2020-08-28,6.706,6.706,6.706,6.706
2020-08-27,6.704,6.704,6.704,6.704
2020-08-26,6.74,6.751,6.74,6.751
2020-08-25,6.674,6.674,6.674,6.674
2020-08-24,6.551,6.551,6.551,6.551
2020-08-21,6.735,6.735,6.735,6.735
2020-08-20,6.571,6.571,6.568,6.568
2020-08-19,6.595,6.595,6.595,6.595
2020-08-18,6.593,6.593,6.593,6.593
2020-08-17,6.574,6.574,6.574,6.574
